,Link,Name,Price,Color
1,https://www.carpages.ca/new-cars/manitoba/winnipeg/2023-toyota-sienna-9206521/,2023 Toyota Sienna,"$63,108",White
2,https://www.carpages.ca/new-cars/manitoba/winnipeg/2023-toyota-sienna-9206518/,2023 Toyota Sienna,"$57,888",Blueprint
3,https://www.carpages.ca/new-cars/manitoba/winnipeg/2023-toyota-sienna-9206515/,2023 Toyota Sienna,"$52,628",Celestial Silver Metallic
4,https://www.carpages.ca/new-cars/manitoba/winnipeg/2023-toyota-sienna-9206512/,2023 Toyota Sienna,"$46,943",White
5,https://www.carpages.ca/new-cars/manitoba/winnipeg/2023-toyota-sienna-9206509/,2023 Toyota Sienna,"$55,888",Ruby Flare Pearl
6,https://www.carpages.ca/new-cars/manitoba/winnipeg/2023-toyota-sienna-9206506/,2023 Toyota Sienna,"$50,628",Midnight Black Metallic
7,https://www.carpages.ca/new-cars/manitoba/winnipeg/2023-toyota-sienna-9206503/,2023 Toyota Sienna,"$48,088",Blueprint
8,https://www.carpages.ca/new-cars/manitoba/winnipeg/2023-toyota-sienna-9206500/,2023 Toyota Sienna,"$45,103",Celestial Silver Metallic
9,https://www.carpages.ca/used-cars/ontario/ottawa/2019-tesla-model-3-9206233/,2019 Tesla Model 3,"$58,888",Black
10,https://www.carpages.ca/used-cars/ontario/scarborough/2022-toyota-highlander-9205936/,2022 Toyota Highlander,"$69,995",Silver
11,https://www.carpages.ca/used-cars/ontario/vaughan/2022-tesla-model-y-9205921/,2022 Tesla Model Y,"$93,500",White
12,https://www.carpages.ca/used-cars/ontario/toronto/2018-toyota-camry-9205798/,2018 Toyota Camry,"$22,900",White
13,https://www.carpages.ca/new-cars/ontario/ottawa/2022-ford-explorer-9205465/,2022 Ford Explorer,"$64,374",STAR WHITE METALLIC TRI-COAT
14,https://www.carpages.ca/used-cars/british-columbia/port-coquitlam/2020-tesla-model-y-9204001/,2020 Tesla Model Y,"$79,995",Grey
15,https://www.carpages.ca/used-cars/british-columbia/abbotsford/2022-tesla-model-y-9203254/,2022 Tesla Model Y,"$88,999",
16,https://www.carpages.ca/used-cars/british-columbia/abbotsford/2022-ford-f-150-9203245/,2022 Ford F-150,"$159,888",
17,https://www.carpages.ca/used-cars/british-columbia/abbotsford/2022-tesla-model-y-9203248/,2022 Tesla Model Y,"$89,888",
18,https://www.carpages.ca/used-cars/ontario/oakville/2014-tesla-model-s-9202111/,2014 Tesla Model S,"$43,999",White
19,https://www.carpages.ca/used-cars/ontario/toronto/2019-hyundai-ioniq-hybrid-9201592/,2019 Hyundai Ioniq Hybrid,"$24,990",Grey
20,https://www.carpages.ca/used-cars/ontario/waterloo/2020-honda-insight-9200314/,2020 Honda Insight,"$41,000",Black
21,https://www.carpages.ca/new-cars/saskatchewan/regina/2022-ford-f-150-9200083/,2022 Ford F-150,"$73,335",Oxford White
22,https://www.carpages.ca/new-cars/saskatchewan/regina/2022-ford-f-150-9200080/,2022 Ford F-150,"$73,335",Iconic Silver Metallic
23,https://www.carpages.ca/new-cars/saskatchewan/regina/2022-ford-f-150-9200077/,2022 Ford F-150,"$73,335",Carbonized Grey Metallic
24,https://www.carpages.ca/new-cars/saskatchewan/regina/2022-ford-f-150-9200074/,2022 Ford F-150,"$73,335",Agate Black Metallic
25,https://www.carpages.ca/used-cars/ontario/mississauga/2022-ford-f-250-9199999/,2022 Ford F-250,"$65,998",
26,https://www.carpages.ca/used-cars/ontario/mississauga/2022-ford-explorer-9199993/,2022 Ford Explorer,"$65,998",Carbonized Grey Metallic
27,https://www.carpages.ca/used-cars/ontario/mississauga/2021-hyundai-santa-fe-9199957/,2021 Hyundai Santa Fe,"$54,995",SPACE BLACK
28,https://www.carpages.ca/new-cars/saskatchewan/moose-jaw/2022-ford-escape-9199951/,2022 Ford Escape,"$44,774",Rapid Red
29,https://www.carpages.ca/used-cars/ontario/windsor/2020-ford-fusion-9199906/,2020 Ford Fusion,"$32,995",White
30,https://www.carpages.ca/new-cars/british-columbia/sechelt/2023-ford-f-150-9199771/,2023 Ford F-150,"$123,945",STAR WHITE METALLIC TRI-COAT
31,https://www.carpages.ca/new-cars/british-columbia/sechelt/2023-ford-f-150-9199768/,2023 Ford F-150,"$95,920",Agate Black
32,https://www.carpages.ca/new-cars/british-columbia/sechelt/2023-ford-f-150-9199765/,2023 Ford F-150,"$123,945",STAR WHITE METALLIC TRI-COAT
33,https://www.carpages.ca/new-cars/british-columbia/fort-st-john/2022-ford-f-150-9199756/,2022 Ford F-150,"$112,620",STAR WHITE METALLIC TRI-COAT
34,https://www.carpages.ca/new-cars/british-columbia/fort-st-john/2022-ford-f-150-9199747/,2022 Ford F-150,"$73,805",Carbonized Grey Metallic
35,https://www.carpages.ca/used-cars/british-columbia/vancouver/2019-chrysler-pacifica-9199723/,2019 Chrysler Pacifica,"$52,995",Brilliant Black Crystal P.C.
36,https://www.carpages.ca/used-cars/british-columbia/coquitlam/2022-tesla-model-y-9199555/,2022 Tesla Model Y,"$103,828",
37,https://www.carpages.ca/used-cars/british-columbia/coquitlam/2022-ford-f-150-9199429/,2022 Ford F-150,"$137,765",
38,https://www.carpages.ca/new-cars/ontario/north-bay/2022-toyota-rav4-9199162/,2022 Toyota RAV4,"$38,265",Super White
39,https://www.carpages.ca/used-cars/ontario/brampton/2021-tesla-model-s-9198979/,2021 Tesla Model S,"$169,995",Solid Black
40,https://www.carpages.ca/used-cars/british-columbia/surrey/2022-toyota-camry-9198655/,2022 Toyota Camry,"$56,784",White
41,https://www.carpages.ca/used-cars/british-columbia/surrey/2021-toyota-rav4-9198652/,2021 Toyota RAV4,"$48,752",Grey
42,https://www.carpages.ca/used-cars/alberta/edmonton/2022-tesla-model-3-9198565/,2022 Tesla Model 3,"$82,689",White
43,https://www.carpages.ca/new-cars/alberta/edmonton/2022-ram-1500-9198421/,2022 RAM 1500,"$63,475",White
44,https://www.carpages.ca/new-cars/alberta/edmonton/2022-ram-1500-9198418/,2022 RAM 1500,"$63,475",White
45,https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-tesla-model-y-9198181/,2022 Tesla Model Y,"$95,992",Pearl White Multi-Coat
46,https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-hyundai-ioniq-5-9198178/,2022 Hyundai IONIQ 5,"$79,991",Shooting-Star Gray
47,https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-kia-sorento-9198007/,2022 Kia Sorento,"$48,774",Runway Red
48,https://www.carpages.ca/used-cars/ontario/london/2022-chevrolet-bolt-ev-9197215/,2022 Chevrolet Bolt EV,"$52,990",Black
49,https://www.carpages.ca/new-cars/saskatchewan/regina/2022-lexus-nx-9197149/,2022 Lexus NX,"$58,545",Black
50,https://www.carpages.ca/used-cars/ontario/ottawa/2020-tesla-model-y-9196870/,2020 Tesla Model Y,"$81,900",White
51,https://www.carpages.ca/used-cars/ontario/oakville/2022-tesla-model-3-9196828/,2022 Tesla Model 3,"$67,950",Grey
52,https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2022-ram-1500-9196108/,2022 RAM 1500,"$74,565",Patriot Blue Pearl
53,https://www.carpages.ca/new-cars/manitoba/winnipeg/2023-audi-a3-9196066/,2023 Audi A3,"$57,154",Ibis White
54,https://www.carpages.ca/used-cars/ontario/guelph/2021-toyota-rav4-9195937/,2021 Toyota RAV4,"$49,995",Black
55,https://www.carpages.ca/new-cars/saskatchewan/regina/2022-ford-mustang-mach-e-9195565/,2022 Ford Mustang MACH-E,"$79,590",Blue
56,https://www.carpages.ca/new-cars/saskatchewan/regina/2022-ford-f-150-9194926/,2022 Ford F-150,"$80,000",Carbonized Grey Metallic
57,https://www.carpages.ca/new-cars/british-columbia/abbotsford/2022-ford-f-150-9194815/,2022 Ford F-150,"$96,740",STAR WHITE METALLIC TRI-COAT
58,https://www.carpages.ca/new-cars/british-columbia/abbotsford/2022-ford-escape-9194803/,2022 Ford Escape,"$53,449",Carbonized Grey Metallic
59,https://www.carpages.ca/new-cars/british-columbia/abbotsford/2022-ford-maverick-9194791/,2022 Ford MAVERICK,"$32,745",Iconic Silver Metallic
60,https://www.carpages.ca/new-cars/british-columbia/abbotsford/2022-ford-f-150-9194785/,2022 Ford F-150,"$84,315",Stone Grey
61,https://www.carpages.ca/new-cars/british-columbia/abbotsford/2023-hyundai-ioniq-5-9194557/,2023 Hyundai IONIQ 5,"$62,924",Lucid Blue Pearl
62,https://www.carpages.ca/new-cars/british-columbia/abbotsford/2022-hyundai-santa-fe-9194551/,2022 Hyundai Santa Fe,"$50,624",Abyss Black Pearl
63,https://www.carpages.ca/new-cars/british-columbia/abbotsford/2023-hyundai-kona-9194548/,2023 Hyundai KONA,"$51,424",PHANTOM BLACK
64,https://www.carpages.ca/used-cars/prince-edward-island/charlottetown/2021-nissan-leaf-9193987/,2021 Nissan Leaf,"$44,988",Gun Metallic
65,https://www.carpages.ca/used-cars/ontario/north-bay/2020-toyota-rav4-9193972/,2020 Toyota RAV4,"$47,638",Silver
66,https://www.carpages.ca/used-cars/ontario/hagersville/2021-ford-mustang-mach-e-9193522/,2021 Ford Mustang MACH-E,"$73,600",Black
67,https://www.carpages.ca/used-cars/ontario/kingston/2022-kia-niro-9193420/,2022 Kia NIRO,"$43,995",Black
68,https://www.carpages.ca/new-cars/alberta/edmonton/2022-ram-1500-9193360/,2022 RAM 1500,"$60,975",White
69,https://www.carpages.ca/new-cars/alberta/edmonton/2022-ram-1500-9193351/,2022 RAM 1500,"$63,920",Silver
70,https://www.carpages.ca/used-cars/ontario/ajax/2011-toyota-highlander-hybrid-9192604/,2011 Toyota Highlander Hybrid,"$15,900",Blue
71,https://www.carpages.ca/used-cars/british-columbia/abbotsford/2022-tesla-model-3-9192559/,2022 Tesla Model 3,"$66,995",White
72,https://www.carpages.ca/used-cars/ontario/scarborough/2018-ford-fusion-energi-9192415/,2018 Ford Fusion Energi,"$21,995",Black
73,https://www.carpages.ca/used-cars/ontario/brampton/2019-toyota-camry-9191899/,2019 Toyota Camry,"$34,900",White
74,https://www.carpages.ca/used-cars/ontario/thornhill/2017-toyota-prius-c-9191338/,2017 Toyota Prius c,"$24,995",Red
75,https://www.carpages.ca/used-cars/ontario/kitchener/2012-kia-optima-9191290/,2012 Kia Optima,"$13,900",Blue
76,https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2022-ram-1500-9190951/,2022 RAM 1500,"$91,120",Diamond Black Crystal Pearlcoat
77,https://www.carpages.ca/used-cars/ontario/mississauga/2018-toyota-rav4-9190735/,2018 Toyota RAV4,"$36,995",Black
78,https://www.carpages.ca/used-cars/ontario/guelph/2021-toyota-prius-9190588/,2021 Toyota Prius,"$42,995",Blue
79,https://www.carpages.ca/used-cars/ontario/guelph/2019-toyota-rav4-9190585/,2019 Toyota RAV4,"$44,995",White
80,https://www.carpages.ca/used-cars/ontario/guelph/2021-ford-escape-9190582/,2021 Ford Escape,"$41,988",Black
81,https://www.carpages.ca/used-cars/ontario/guelph/2018-toyota-rav4-9190576/,2018 Toyota RAV4,"$36,995",Grey
82,https://www.carpages.ca/used-cars/ontario/guelph/2021-toyota-sienna-9190558/,2021 Toyota Sienna,"$64,998",White
83,https://www.carpages.ca/used-cars/ontario/north-york/2020-lexus-ux-9190180/,2020 Lexus UX,"$45,490",Gray
84,https://www.carpages.ca/used-cars/ontario/cambridge/2018-chevrolet-malibu-9190081/,2018 Chevrolet Malibu,"$25,995",White
85,https://www.carpages.ca/new-cars/nova-scotia/port-hawkesbury/2022-toyota-tundra-9189919/,2022 Toyota Tundra,"$66,645",0089 WIND CHILL PEARL
86,https://www.carpages.ca/new-cars/saskatchewan/regina/2022-ford-escape-9189736/,2022 Ford Escape,"$49,449",Agate Black Metallic
87,https://www.carpages.ca/used-cars/ontario/peterborough/2017-ford-focus-9189619/,2017 Ford Focus,"$20,649",Red
88,https://www.carpages.ca/new-cars/saskatchewan/moose-jaw/2022-ford-escape-9189460/,2022 Ford Escape,"$46,369",STAR WHITE METALLIC TRI-COAT
89,https://www.carpages.ca/used-cars/british-columbia/surrey/2021-jeep-wrangler-9189394/,2021 Jeep Wrangler,"$68,588",
90,https://www.carpages.ca/used-cars/manitoba/selkirk/2020-hyundai-kona-9189376/,2020 Hyundai KONA,"$45,694",Red
91,https://www.carpages.ca/used-cars/british-columbia/vancouver/2021-toyota-sienna-9189235/,2021 Toyota Sienna,"$72,995",Super White
92,https://www.carpages.ca/new-cars/british-columbia/surrey/2022-jeep-grand-cherokee-9189211/,2022 Jeep Grand Cherokee,"$101,000",Bright White
93,https://www.carpages.ca/used-cars/ontario/kanata/2019-volkswagen-golf-9189094/,2019 Volkswagen Golf,"$35,995",Deep Black Pearl
94,https://www.carpages.ca/used-cars/ontario/ottawa/2021-lexus-ux-9188968/,2021 Lexus UX,"$43,888",Ultra White
95,https://www.carpages.ca/new-cars/ontario/goderich/2022-jeep-grand-cherokee-9187966/,2022 Jeep Grand Cherokee,"$86,190",Silver Zynith
96,https://www.carpages.ca/used-cars/ontario/innisfil/2021-jeep-wrangler-9187846/,2021 Jeep Wrangler,"$61,996",Dark Grey
97,https://www.carpages.ca/new-cars/alberta/edmonton/2023-land-rover-defender-9187792/,2023 Land Rover Defender,"$129,280",Red
98,https://www.carpages.ca/used-cars/alberta/edmonton/2019-lexus-ux-9187480/,2019 Lexus UX,"$45,907",White
99,https://www.carpages.ca/new-cars/british-columbia/richmond/2023-jeep-wrangler-9187438/,2023 Jeep Wrangler,"$69,916",White
100,https://www.carpages.ca/used-cars/ontario/nepean/2017-kia-soul-9187399/,2017 Kia Soul,"$24,495",White
101,https://www.carpages.ca/new-cars/ontario/burlington/2022-ford-f-150-9186802/,2022 Ford F-150,"$82,730",Black
102,https://www.carpages.ca/used-cars/ontario/oakville/2022-tesla-model-s-9186640/,2022 Tesla Model S,"$144,400",Black
103,https://www.carpages.ca/used-cars/ontario/oakville/2014-tesla-model-s-9186637/,2014 Tesla Model S,"$39,950",Blue
104,https://www.carpages.ca/used-cars/ontario/oakville/2021-tesla-model-y-9186454/,2021 Tesla Model Y,"$78,700",Grey
105,https://www.carpages.ca/used-cars/ontario/london/2019-toyota-rav4-9186283/,2019 Toyota RAV4,"$43,995",Red
106,https://www.carpages.ca/used-cars/ontario/hamilton/2012-kia-optima-9186193/,2012 Kia Optima,"$13,900",Blue
107,https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-tesla-model-y-9186037/,2022 Tesla Model Y,"$99,982",Red Multi-Coat
108,https://www.carpages.ca/used-cars/ontario/bolton/2020-ram-1500-9185275/,2020 RAM 1500,"$38,998",Gray
109,https://www.carpages.ca/used-cars/nova-scotia/halifax/2021-ford-escape-9184348/,2021 Ford Escape,"$41,695",
110,https://www.carpages.ca/used-cars/nova-scotia/halifax/2020-ford-escape-9184345/,2020 Ford Escape,"$39,998",Silver
111,https://www.carpages.ca/used-cars/ontario/oakville/2022-tesla-model-3-9183874/,2022 Tesla Model 3,"$62,980",White
112,https://www.carpages.ca/new-cars/manitoba/brandon/2022-ford-escape-9183799/,2022 Ford Escape,"$49,423",Oxford White
113,https://www.carpages.ca/new-cars/manitoba/brandon/2022-ford-f-150-9183778/,2022 Ford F-150,"$65,880",Oxford White
114,https://www.carpages.ca/new-cars/manitoba/brandon/2022-ford-f-150-9183775/,2022 Ford F-150,"$66,955",Agate Black Metallic
115,https://www.carpages.ca/new-cars/manitoba/brandon/2022-ford-f-150-9183772/,2022 Ford F-150,"$61,305",Iconic Silver Metallic
116,https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-9183730/,2022 Ford F-150,"$60,685",Oxford White
117,https://www.carpages.ca/new-cars/british-columbia/fort-st-john/2022-ford-f-150-9183469/,2022 Ford F-150,"$101,515",Iced Blue Silver Metallic
118,https://www.carpages.ca/new-cars/british-columbia/abbotsford/2023-hyundai-kona-9183457/,2023 Hyundai KONA,"$51,424",Galatic Grey
119,https://www.carpages.ca/used-cars/ontario/north-york/2020-tesla-model-y-9182716/,2020 Tesla Model Y,"$82,995",Pearl White Multi-Coat
120,https://www.carpages.ca/used-cars/alberta/edmonton/2019-hyundai-kona-9182014/,2019 Hyundai KONA,"$49,997",White
121,https://www.carpages.ca/used-cars/ontario/kitchener/2013-lexus-ct-200h-9181291/,2013 Lexus CT 200h,"$21,999",Silver
122,https://www.carpages.ca/used-cars/ontario/toronto/2020-ford-fusion-hybrid-9180988/,2020 Ford Fusion Hybrid,"$32,995",White
123,https://www.carpages.ca/used-cars/ontario/burlington/2014-lincoln-mkz-9180811/,2014 Lincoln MKZ,"$16,888",Black
124,https://www.carpages.ca/used-cars/nova-scotia/truro/2019-kia-niro-9180394/,2019 Kia NIRO,"$36,995",Green
125,https://www.carpages.ca/used-cars/ontario/london/2022-hyundai-tucson-hybrid-9180346/,2022 Hyundai Tucson Hybrid,"$54,995",Black
126,https://www.carpages.ca/new-cars/manitoba/brandon/2022-ford-escape-9179431/,2022 Ford Escape,"$45,369",STAR WHITE METALLIC TRI-COAT
127,https://www.carpages.ca/new-cars/ontario/ottawa/2022-ford-f-150-9179368/,2022 Ford F-150,"$68,195",Oxford White
128,https://www.carpages.ca/new-cars/ontario/ottawa/2022-ford-f-150-9179365/,2022 Ford F-150,"$68,735",Rapid Red Metallic Tinted Clearcoat
129,https://www.carpages.ca/new-cars/ontario/ottawa/2022-ford-f-150-9179347/,2022 Ford F-150,"$66,745",Oxford White
130,https://www.carpages.ca/used-cars/quebec/saint-hubert/2015-nissan-leaf-9178819/,2015 Nissan Leaf,"$18,950",Cayenne Red Metallic
131,https://www.carpages.ca/used-cars/ontario/vaughan/2021-tesla-model-y-9178807/,2021 Tesla Model Y,"$79,910",Grey
132,https://www.carpages.ca/new-cars/ontario/midland/2022-hyundai-santa-fe-9178624/,2022 Hyundai Santa Fe,"$41,699",White
133,https://www.carpages.ca/used-cars/ontario/oakville/2014-ford-fusion-9178582/,2014 Ford Fusion,"$6,449",White
134,https://www.carpages.ca/used-cars/ontario/waterloo/2016-ford-c-max-9178504/,2016 Ford C-MAX,"$19,900",White
135,https://www.carpages.ca/new-cars/ontario/kitchener/2022-ford-f-150-9178453/,2022 Ford F-150,"$79,490",White
136,https://www.carpages.ca/new-cars/manitoba/winnipeg/2023-lexus-es-300-9178291/,2023 Lexus ES 300,"$67,902",Caviar
137,https://www.carpages.ca/new-cars/manitoba/winnipeg/2023-lexus-es-300-9178288/,2023 Lexus ES 300,"$63,802",Ultra White
138,https://www.carpages.ca/new-cars/manitoba/winnipeg/2023-lexus-es-300-9178285/,2023 Lexus ES 300,"$59,152",Ultra White
139,https://www.carpages.ca/new-cars/manitoba/winnipeg/2023-lexus-es-300-9178261/,2023 Lexus ES 300,"$63,952",Ultra White
140,https://www.carpages.ca/new-cars/manitoba/winnipeg/2023-lexus-es-300-9178258/,2023 Lexus ES 300,"$57,302",Caviar
141,https://www.carpages.ca/used-cars/ontario/mississauga/2022-ford-f-150-9177019/,2022 Ford F-150,"$126,900",Agate Black Metallic
142,https://www.carpages.ca/used-cars/british-columbia/surrey/2022-tesla-model-3-9176719/,2022 Tesla Model 3,"$78,987",Grey
143,https://www.carpages.ca/used-cars/ontario/scarborough/2011-cadillac-escalade-9176119/,2011 Cadillac Escalade,"$15,950",Grey
144,https://www.carpages.ca/used-cars/ontario/mississauga/2022-hyundai-elantra-9175906/,2022 Hyundai Elantra,"$40,995",SPACE BLACK
145,https://www.carpages.ca/used-cars/ontario/mississauga/2023-hyundai-elantra-9175891/,2023 Hyundai Elantra,"$43,995",Cyber Grey
146,https://www.carpages.ca/new-cars/newfoundland-and-labrador/st-john-s/2023-mercedes-benz-gle-9175681/,2023 Mercedes-Benz GLE,"$105,358",Emerald Green Metallic
147,https://www.carpages.ca/used-cars/ontario/new-hamburg/2015-ford-focus-9175672/,2015 Ford Focus,"$15,699",Blue Candy Tinted Clearcoat
148,https://www.carpages.ca/new-cars/ontario/ottawa/2022-ford-f-150-9175651/,2022 Ford F-150,"$62,900",Carbonized Grey Metallic
149,https://www.carpages.ca/new-cars/ontario/ottawa/2022-ford-f-150-9175642/,2022 Ford F-150,"$68,745",Rapid Red Metallic Tinted Clearcoat
150,https://www.carpages.ca/new-cars/saskatchewan/moose-jaw/2022-ford-f-150-9175477/,2022 Ford F-150,"$90,835",Agate Black Metallic
151,https://www.carpages.ca/new-cars/british-columbia/abbotsford/2023-hyundai-ioniq-5-9175378/,2023 Hyundai IONIQ 5,"$62,924",PHANTOM BLACK
152,https://www.carpages.ca/new-cars/alberta/high-river/2022-toyota-rav4-9175348/,2022 Toyota RAV4,"$49,505",Blizzard Pearl
153,https://www.carpages.ca/used-cars/manitoba/winnipeg/2020-ford-escape-9174820/,2020 Ford Escape,"$39,287",Black
154,https://www.carpages.ca/used-cars/british-columbia/surrey/2020-tesla-model-3-9174553/,2020 Tesla Model 3,"$54,987",Grey
155,https://www.carpages.ca/new-cars/alberta/edmonton/2022-ram-1500-9174301/,2022 RAM 1500,"$63,970",Black
156,https://www.carpages.ca/new-cars/alberta/edmonton/2022-ford-f-150-9174148/,2022 Ford F-150,"$83,250",Black
157,https://www.carpages.ca/used-cars/alberta/edmonton/2015-ford-focus-9174031/,2015 Ford Focus,"$22,998",Red
158,https://www.carpages.ca/new-cars/ontario/burlington/2022-ford-f-150-9173356/,2022 Ford F-150,"$87,050",Grey
159,https://www.carpages.ca/used-cars/ontario/toronto/2019-hyundai-ioniq-hybrid-9172849/,2019 Hyundai Ioniq Hybrid,"$25,990",Silver
160,https://www.carpages.ca/new-cars/ontario/guelph/2023-jeep-wrangler-9172633/,2023 Jeep Wrangler,"$71,885",Sting-Grey
161,https://www.carpages.ca/used-cars/ontario/guelph/2017-toyota-prius-9172570/,2017 Toyota Prius,"$32,998",Red
162,https://www.carpages.ca/used-cars/british-columbia/surrey/2021-ford-f-150-9171988/,2021 Ford F-150,"$86,897",Red
163,https://www.carpages.ca/new-cars/ontario/new-hamburg/2022-jeep-grand-cherokee-9171730/,2022 Jeep Grand Cherokee,"$82,275",Black
164,https://www.carpages.ca/new-cars/ontario/watford/2022-ford-escape-9171460/,2022 Ford Escape,"$45,599",Silver
165,https://www.carpages.ca/used-cars/ontario/mississauga/2021-porsche-cayenne-9170659/,2021 Porsche Cayenne,"$121,037",Black
166,https://www.carpages.ca/used-cars/ontario/mississauga/2018-audi-a3-9170632/,2018 Audi A3,"$40,511",White
167,https://www.carpages.ca/used-cars/ontario/mississauga/2017-chevrolet-volt-9170317/,2017 Chevrolet Volt,"$26,999",White
